rule_number,category,rule_name,content,priority,active
1,FOUNDATION,Support and Resistance,"A level is only valid if price has tested it 3 or more times. Always identify levels on the higher timeframe first — Daily, Weekly, Monthly — then work down to lower timeframes. Support and resistance are zones not exact lines. Mark them as zones with width. Psychological rounded numbers are always considered as additional confluence. A level tested more times is a stronger level. 3 tests = valid. 5 tests = very strong. 7+ tests = major level. Higher timeframe levels always override lower timeframe levels when in conflict.",1,true
2,FOUNDATION,Candle Analysis,"THREE CANDLE TYPES: MOMENTUM CANDLES — Long body. Small or no wicks. Strong directional move. The longer the body relative to the wicks the stronger the momentum. These confirm the direction of the real move. PIVOT CANDLES — Appear at support and resistance zones. Confirm a level is holding. A momentum candle at a key S&R level is the strongest confirmation signal. REVERSAL CANDLES — Appear at exhaustion points. Long wicks. Small body. The wick shows rejection. A reversal candle at a key level after the 3rd phase of a move signals the midpoint reversal.",2,true
3,FOUNDATION,Top Down Analysis,"ALWAYS IN THIS ORDER: Step 1 — Monthly chart: Identify major S&R zones tested 3+ times. Note psychological levels. Identify where we are in the yearly manipulation cycle. Step 2 — Weekly chart: Identify weekly S&R zones. Note where weekly manipulation has occurred. Step 3 — Daily chart: Identify daily S&R zones. Note the candle types at key levels. Step 4 — 4H chart: Fine detail entry preparation. Identify the manipulation on the 4H. Step 5 — 1H or 15M: Entry timing only. Never use lower timeframes for direction. The higher timeframe bias must already be confirmed.",3,true
4,MANIPULATION,Manipulation Not Fixed,"Do not assume Monday is always the manipulation day. Variations exist. Friday can be the manipulation. Tuesday can be the manipulation if Monday is a bank holiday. Active analysis required every week. Never apply rules mechanically. The entire move tends to move in one direction rapidly and strongly. Active analysis is required every single week to identify which day or period is the manipulation.",4,true
5,MANIPULATION,Manipulation Characteristics,"A manipulation move has these specific characteristics: SPEED — Moves rapidly. Sharp. Aggressive. Covers a large number of pips in a very short space of time. DIRECTION — The entire candle or session moves in ONE direction only. Strong. Clean. One sided. Very little pullback during the move. SIZE — Covers significantly more pips than a normal candle for that timeframe. An abnormally large move is always suspicious. REVERSAL — After the manipulation completes a pivot point appears. Either a pivot candle at the high/low, an M formation at the high, or a W formation at the low.",5,true
6,MANIPULATION,Session Timing,"LONDON SESSION: First 45 minutes = manipulation window. Specifically 3 consecutive 15 minute candles. These 3 candles form the manipulation. Watch for the pivot after the 3rd 15 minute candle. NEW YORK SESSION: Opens at 13:30 GMT. First 45 minutes = manipulation window. Again 3 consecutive 15 minute candles. Same rules apply. The pivot after the 3rd candle signals the real move direction. KEY INSIGHT: The manipulation in the first 45 minutes sets up the real move for the rest of the session. The real move goes opposite to the first 45 minute direction.",6,true
7,MANIPULATION,Pip Measurements,"Standard manipulation move: 3 consecutive 15 minute candles. Each candle moves approximately 25 pips per candle. Total manipulation range: 50 to 75 pips standard. High volatility adjustment: In increased volatility environments the manipulation can exceed 75 pips significantly. Always confirm with current market context. Do not apply fixed pip rules rigidly in volatile conditions. This applies to London open first 45 minutes, New York open first 45 minutes, and any session where the first 3 candles show this pattern.",7,true
8,PATTERNS,M Formation Rules,"A VALID M FORMATION: First leg peak is HIGHER than the second leg peak. This is non negotiable. First leg must be the highest point. THE NECKLINE: Connects the two troughs between the two peaks. Break below neckline = confirmation. INVALIDATION: If the second leg closes ABOVE the first leg peak the M formation is invalid. Do not trade it as a double top. WHAT HAPPENS AFTER INVALIDATION: A shorter additional manipulation run higher — typically 20 to 25 pips above the first leg high. Then the real reversal comes. This is a trap for traders who shorted at the first peak. The market squeezes them out before the real move down begins. The entry is AFTER this secondary squeeze completes.",8,true
9,PATTERNS,W Formation Rules,"Exact mirror of M formation. All M formation rules apply in reverse. Valid W: First trough LOWER than second trough. Second trough must not close below the first trough. If it does the formation is invalid. After invalidation: Extension of 20 to 25 pips lower then the real reversal up begins. The neckline connects the two peaks between the two troughs. Break above neckline = confirmation. Same trap mechanic applies in reverse.",9,true
10,PATTERNS,Triple Top and Triple Bottom,"TRIPLE TOP — 3 legged M: Three peaks at approximately the same level. The third peak is the strongest reversal signal of all patterns. Stronger than a double top. More reliable than a standard M. INVALIDATION RULE: Once the third peak forms and you enter the reversal trade — price must NOT retrace more than 15 pips above the third peak. If it does exit immediately. The pattern has failed. A fourth leg may be forming. TRIPLE BOTTOM — 3 legged W: Mirror of triple top. Three troughs at same level. Third trough = strongest buy reversal signal. Same 15 pip invalidation rule applies in reverse.",10,true
